Timestamp,EnteringGradeLevel,District,BirthMonth,OLSATVerbalScore,OLSATVerbalPercentile,NNATNonVerbalRawScore,NNATNonVerbalPercentile,OverallScore,SchoolPreferences,SchoolAssigned,Willyouenrollthere,TimestampYear
2018-03-27,second,2,August,27,98,42,99,99,"Anderson, NEST",NA,NA,2018
2018-03-27,second,13,September,23,98,42,99,99,Brooklyn PS9,NA,"Yep, Sister is there",2018
2018-03-27,second,13,May,0,99,42,99,99,NEST+M,NA,NA,2018
2018-03-27,second,21,October,26,99,36,99,99,"BSI, PS 215",PS 215,Yes,2018
2018-02-14,kindergarten,30,October,24,99,40,99,99,"NEST,Q300,PS122,Ps85",NEST,YES,2018
2018-03-27,kindergarten,3,September,24,99,42,99,99,"Anderson, NEST+M, 166, TAG, 163",NEST+M,Yes,2018
2018-03-27,kindergarten,21,August,27,98,45,99,99,NA,NA,NA,2018
2018-03-27,kindergarten,22,December,27,99,41,99,99,NA,NA,NA,2018
2018-03-27,kindergarten,25,July,28,99,43,99,99,NEST,NA,NA,2018
2018-03-27,kindergarten,25,March,0,0,0,0,99,Tag,NA,NA,2018
2018-03-27,kindergarten,26,November,25,99,40,99,99,NEST+M,NA,NA,2018
2018-03-27,kindergarten,27,October,26,99,43,99,99,"Anderson,  PS188",NA,NA,2018
2018-03-27,kindergarten,28,September,27,98,42,99,99,"Q300, NEST+M",NA,Have sib priority at Q300,2018
2018-03-27,kindergarten,28,January,30,99,44,99,99,NA,NA,NA,2018
2018-03-28,kindergarten,3,March,26,99,40,99,99,NA,NA,NA,2018
2018-03-28,kindergarten,21,February,27,99,0,99,99,NA,NA,NA,2018
2018-03-28,kindergarten,24,September,27,98,41,99,99,NA,NA,NA,2018
2018-03-28,kindergarten,25,October,24,99,39,99,99,"Q300, NEST",NA,NA,2018
2018-03-28,kindergarten,26,November,24,99,4,99,99,PS188,NA,NA,2018
2018-03-29,kindergarten,11,January,26,99,48,99,99,Anderson TAG,NA,"TAG offered, will go",2018
2018-03-29,kindergarten,28,February,28,98,44,99,99,NA,NA,NA,2018
2018-03-30,kindergarten,15,May,28,99,46,99,99,NEST+M,NA,Sibling priority,2018
2018-04-01,kindergarten,2,July,27,99,45,99,99,"Anderson, TAG, NEST, q300",Anderson,Yes,2018
